Timestamp,Raw Reading
2017-08-21 11:55:16,39.63 Degrees C: 103.32 Degrees F:
2017-08-21 11:55:18,39.63 Degrees C: 103.32 Degrees F:
2017-08-21 11:55:20,39.56 Degrees C: 103.21 Degrees F:
2017-08-21 11:55:22,39.50 Degrees C: 103.10 Degrees F:
2017-08-21 11:55:23,39.44 Degrees C: 102.99 Degrees F:
2017-08-21 11:55:25,39.31 Degrees C: 102.76 Degrees F:
2017-08-21 11:55:27,39.31 Degrees C: 102.76 Degrees F:
2017-08-21 11:55:29,39.19 Degrees C: 102.54 Degrees F:
2017-08-21 11:55:30,39.13 Degrees C: 102.42 Degrees F:
2017-08-21 11:55:32,39.13 Degrees C: 102.42 Degrees F:
2017-08-21 11:55:34,39.06 Degrees C: 102.31 Degrees F:
2017-08-21 11:55:36,39.06 Degrees C: 102.31 Degrees F:
2017-08-21 11:55:38,39.00 Degrees C: 102.20 Degrees F:
2017-08-21 11:55:39,38.94 Degrees C: 102.09 Degrees F:
2017-08-21 11:55:41,38.88 Degrees C: 101.97 Degrees F:
2017-08-21 11:55:43,38.88 Degrees C: 101.97 Degrees F:
2017-08-21 11:55:45,38.88 Degrees C: 101.97 Degrees F:
2017-08-21 11:55:46,38.88 Degrees C: 101.97 Degrees F:
2017-08-21 11:55:48,38.88 Degrees C: 101.97 Degrees F:
2017-08-21 11:55:50,38.88 Degrees C: 101.97 Degrees F:
2017-08-21 11:55:52,38.88 Degrees C: 101.97 Degrees F:
2017-08-21 11:55:54,38.88 Degrees C: 101.97 Degrees F:
2017-08-21 11:55:55,38.94 Degrees C: 102.09 Degrees F:
2017-08-21 11:55:57,39.00 Degrees C: 102.20 Degrees F:
2017-08-21 11:55:59,39.00 Degrees C: 102.20 Degrees F:
2017-08-21 11:56:01,39.00 Degrees C: 102.20 Degrees F:
2017-08-21 11:56:02,39.06 Degrees C: 102.31 Degrees F:
2017-08-21 11:56:04,39.06 Degrees C: 102.31 Degrees F:
2017-08-21 11:56:06,39.06 Degrees C: 102.31 Degrees F:
2017-08-21 11:56:08,39.06 Degrees C: 102.31 Degrees F:
2017-08-21 11:56:10,39.06 Degrees C: 102.31 Degrees F:
2017-08-21 11:56:11,39.06 Degrees C: 102.31 Degrees F:
2017-08-21 11:56:13,39.06 Degrees C: 102.31 Degrees F:
2017-08-21 11:56:15,39.00 Degrees C: 102.20 Degrees F:
2017-08-21 11:56:17,39.00 Degrees C: 102.20 Degrees F:
2017-08-21 11:56:18,38.94 Degrees C: 102.09 Degrees F:
2017-08-21 11:56:20,38.88 Degrees C: 101.97 Degrees F:
2017-08-21 11:56:22,38.81 Degrees C: 101.86 Degrees F:
2017-08-21 11:56:24,38.69 Degrees C: 101.64 Degrees F:
2017-08-21 11:56:26,38.63 Degrees C: 101.52 Degrees F:
2017-08-21 11:56:27,38.63 Degrees C: 101.52 Degrees F:
2017-08-21 11:56:29,38.56 Degrees C: 101.41 Degrees F:
2017-08-21 11:56:31,38.50 Degrees C: 101.30 Degrees F:
2017-08-21 11:56:33,38.44 Degrees C: 101.19 Degrees F:
2017-08-21 11:56:34,38.38 Degrees C: 101.07 Degrees F:
2017-08-21 11:56:36,38.31 Degrees C: 100.96 Degrees F:
2017-08-21 11:56:38,38.25 Degrees C: 100.85 Degrees F:
2017-08-21 11:56:40,38.19 Degrees C: 100.74 Degrees F:
2017-08-21 11:56:42,38.19 Degrees C: 100.74 Degrees F:
2017-08-21 11:56:43,38.19 Degrees C: 100.74 Degrees F:
2017-08-21 11:56:45,38.19 Degrees C: 100.74 Degrees F:
2017-08-21 11:56:47,38.19 Degrees C: 100.74 Degrees F:
2017-08-21 11:56:49,38.19 Degrees C: 100.74 Degrees F:
2017-08-21 11:56:50,38.19 Degrees C: 100.74 Degrees F:
2017-08-21 11:56:52,38.13 Degrees C: 100.62 Degrees F:
2017-08-21 11:56:54,38.06 Degrees C: 100.51 Degrees F:
2017-08-21 11:56:56,38.06 Degrees C: 100.51 Degrees F:
2017-08-21 11:56:58,38.00 Degrees C: 100.40 Degrees F:
2017-08-21 11:56:59,38.00 Degrees C: 100.40 Degrees F:
2017-08-21 11:57:01,37.94 Degrees C: 100.29 Degrees F:
2017-08-21 11:57:03,37.88 Degrees C: 100.17 Degrees F:
2017-08-21 11:57:05,37.88 Degrees C: 100.17 Degrees F:
2017-08-21 11:57:06,37.81 Degrees C: 100.06 Degrees F:
2017-08-21 11:57:08,37.75 Degrees C: 99.95 Degrees F:
2017-08-21 11:57:10,37.75 Degrees C: 99.95 Degrees F:
2017-08-21 11:57:12,37.75 Degrees C: 99.95 Degrees F:
2017-08-21 11:57:14,37.75 Degrees C: 99.95 Degrees F:
2017-08-21 11:57:15,37.69 Degrees C: 99.84 Degrees F:
2017-08-21 11:57:17,37.69 Degrees C: 99.84 Degrees F:
2017-08-21 11:57:19,37.69 Degrees C: 99.84 Degrees F:
2017-08-21 11:57:21,37.69 Degrees C: 99.84 Degrees F:
2017-08-21 11:57:22,37.69 Degrees C: 99.84 Degrees F:
2017-08-21 11:57:24,37.63 Degrees C: 99.72 Degrees F:
2017-08-21 11:57:26,37.63 Degrees C: 99.72 Degrees F:
2017-08-21 11:57:28,37.63 Degrees C: 99.72 Degrees F:
2017-08-21 11:57:30,37.56 Degrees C: 99.61 Degrees F:
2017-08-21 11:57:31,37.50 Degrees C: 99.50 Degrees F:
2017-08-21 11:57:33,37.44 Degrees C: 99.39 Degrees F:
2017-08-21 11:57:35,37.44 Degrees C: 99.39 Degrees F:
2017-08-21 11:57:37,37.38 Degrees C: 99.27 Degrees F:
2017-08-21 11:57:38,37.31 Degrees C: 99.16 Degrees F:
2017-08-21 11:57:40,37.25 Degrees C: 99.05 Degrees F:
2017-08-21 11:57:42,37.19 Degrees C: 98.94 Degrees F:
2017-08-21 11:57:44,37.13 Degrees C: 98.82 Degrees F:
2017-08-21 11:57:46,37.06 Degrees C: 98.71 Degrees F:
2017-08-21 11:57:47,37.00 Degrees C: 98.60 Degrees F:
2017-08-21 11:57:49,37.00 Degrees C: 98.60 Degrees F:
2017-08-21 11:57:51,36.94 Degrees C: 98.49 Degrees F:
2017-08-21 11:57:53,36.88 Degrees C: 98.37 Degrees F:
2017-08-21 11:57:54,36.88 Degrees C: 98.37 Degrees F:
2017-08-21 11:57:56,36.81 Degrees C: 98.26 Degrees F:
2017-08-21 11:57:58,36.75 Degrees C: 98.15 Degrees F:
2017-08-21 11:58:00,36.75 Degrees C: 98.15 Degrees F:
2017-08-21 11:58:02,36.69 Degrees C: 98.04 Degrees F:
2017-08-21 11:58:03,36.69 Degrees C: 98.04 Degrees F:
2017-08-21 11:58:05,36.63 Degrees C: 97.92 Degrees F:
2017-08-21 11:58:07,36.63 Degrees C: 97.92 Degrees F:
2017-08-21 11:58:09,36.56 Degrees C: 97.81 Degrees F:
2017-08-21 11:58:10,36.56 Degrees C: 97.81 Degrees F:
2017-08-21 11:58:12,36.50 Degrees C: 97.70 Degrees F:
2017-08-21 11:58:14,36.44 Degrees C: 97.59 Degrees F:
2017-08-21 11:58:16,36.44 Degrees C: 97.59 Degrees F:
2017-08-21 11:58:18,36.38 Degrees C: 97.47 Degrees F:
2017-08-21 11:58:19,36.31 Degrees C: 97.36 Degrees F:
